platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr,arrival_location
AWS,m4.xlarge,2.4,4,4,17.17984,48060202400,lr,2024-01-21T05:00:00Z,5435.784,16134885.801659126,98.18506221719458,21.23260746606335,aws_us-west-1
AWS,r4.large,2.3,4,2,16.374534999999998,102653486885,wordcount,2024-01-21T07:00:00Z,4888.568,14536174.332008982,92.82946104681292,61.792950423216446,aws_us-west-1
AWS,c4.2xlarge,2.9,4,8,16.106099999999998,48060214464,lr,2024-01-21T07:00:00Z,5166.932,15169268.007117435,98.49567081850532,11.90238078291815,aws_us-west-1
AWS,c4.large,2.9,32,2,4.0265249999999995,48060238592,lr,2024-01-21T08:00:00Z,4034.47,3625875.8881845577,94.06026213239116,5.7887636391977555,aws_us-west-1
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-21T11:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-west-1
AWS,c4.large,2.9,12,2,4.0265249999999995,48060213264,lr,2024-01-21T15:00:00Z,4696.213,3749929.935893522,97.27837047438793,17.636683558214788,aws_us-west-1
AWS,r4.large,2.3,6,2,16.374534999999998,6104217589,pagerank,2024-01-22T00:00:00Z,3953.812,3773347.605442177,24.09695918367347,68.10979455782314,aws_us-west-1
AWS,m4.large,2.4,6,2,8.58992,6104217589,pagerank,2024-01-21T01:00:00Z,3985.015,3802651.4990491713,46.51212849769085,68.22254278728606,aws_us-west-1
AWS,r4.large,2.3,4,2,16.374534999999998,102653486885,wordcount,2024-01-21T01:00:00Z,4888.568,14536174.332008982,92.82946104681292,61.792950423216446,aws_us-west-1
AWS,c4.2xlarge,2.9,10,8,16.106099999999998,48060212000,lr,2024-01-21T02:00:00Z,4142.607,14100343.799621332,91.55502761123384,3.758023035657936,aws_us-west-1
AWS,c4.large,2.9,8,2,4.0265249999999995,48060202400,lr,2024-01-21T03:00:00Z,5310.193,3758675.1104779993,97.50526828110162,21.28139759417537,aws_us-west-1
AWS,m4.large,2.4,6,2,8.58992,48060204216,lr,2024-01-21T03:00:00Z,7101.319,8003489.05758427,97.89475304307116,21.2586247659176,aws_us-west-1
