platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr
AWS,r3.xlarge,2.5,1,4,32.749069999999996,72101800,als,86.317,10582597.111111112,33.68555555555556,63.77277777777778
AWS,r4.large,2.3,1,2,16.374534999999998,-1,pca,95.70826489199862,7597109.263157895,48.514736842105265,55.81473684210528
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,pic,48.84309787999973,5110153.333333333,66.71666666666665,58.86444444444445
AWS,m3.2xlarge,2.6,1,8,32.212199999999996,1881786739,bayes,114.379,14528490.608695652,47.04260869565218,64.43434782608696
AWS,c4.large,2.9,1,2,4.0265249999999995,-1,pic,140.5077549409998,3639813.4285714286,94.42214285714286,74.0257142857143
AWS,r4.xlarge,2.3,1,4,32.749069999999996,-1,lda,101.56229014500012,13197520.2,42.029,70.81750000000001
AWS,r3.xlarge,2.5,1,4,32.749069999999996,743933308,aggregation,136.679,19844527.03448276,63.16620689655172,75.78172413793105
AWS,m3.large,2.6,1,2,7.516179999999999,-1,lda,159.26224227199964,6586400.0,85.99064516129032,83.17161290322582
AWS,c3.xlarge,2.8,1,4,7.516179999999999,87,scan,22.395,2508566.0,32.751666666666665,30.946666666666665
AWS,c3.large,2.8,1,2,4.0265249999999995,87,scan,27.837,2156144.5,55.932500000000005,60.48
AWS,c3.xlarge,2.8,1,4,7.516179999999999,-1,word2vec,401.705292957,6254742.8,81.660125,77.757875
AWS,m4.large,2.4,1,2,8.58992,3284920240,wordcount,240.295,7939666.127659574,97.11446808510637,33.879999999999995
AWS,r4.xlarge,2.3,1,4,32.749069999999996,1357856944,dfsioe,216.979,5582814.913580247,17.77938271604938,67.23765432098766
AWS,r4.large,2.3,1,2,16.374534999999998,-1,als,119.16093442900092,6126803.826086956,39.12652173913043,69.62173913043478
