platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_usr
AWS,m4.xlarge,2.4,8,4,17.18,51326844464,wordcount,2018-01-05 01:46:58,583.409,7918990.911734164,48.189221183800626,64.1807268951194
AWS,c4.2xlarge,2.9,4,8,16.11,2993511650,pagerank,2018-01-05 10:21:11,488.654,13049450.295918368,84.73119897959185,81.07469387755101
AWS,r4.2xlarge,2.3,6,8,65.5,24060216864,lr,2018-01-06 00:29:26,1351.237,20354224.851168513,32.3690159901599,8.093929889298893
AWS,c4.xlarge,2.9,10,4,8.05,2993586581,pagerank,2018-01-06 03:59:19,755.755,2496420.3736842107,32.59241447368421,67.54656578947369
AWS,r4.xlarge,2.3,8,4,32.75,2993511650,pagerank,2018-01-05 02:52:40,1018.769,3036874.5219512195,9.671573170731707,68.60817073170732
AWS,m4.2xlarge,2.4,6,8,34.36,48060216864,lr,2018-01-06 04:45:29,2401.499,24860250.088147197,75.45250748823278,9.072214377406931
AWS,m4.large,2.4,8,2,8.59,6104143946,pagerank,2018-01-05 12:31:24,3056.504,3210445.674736842,39.2686447368421,69.55866842105262
AWS,r4.xlarge,2.3,4,4,32.75,50000000000,terasort,2018-01-05 08:53:10,1179.505,24682247.092827003,78.60606540084389,44.074651898734174
AWS,c4.2xlarge,2.9,10,8,16.11,2993405732,pagerank,2018-01-06 03:44:59,610.013,2811348.6894308943,18.254447154471546,57.33656097560976
AWS,m4.2xlarge,2.4,8,8,34.36,50000000000,terasort,2018-01-05 02:19:23,816.502,16689862.259146342,50.65487042682927,15.90467225609756
AWS,r4.large,2.3,6,2,16.37,93795392259,join,2018-01-06 01:55:53,794.892,15342697.061650993,97.98015673981192,69.67988505747125
AWS,c4.2xlarge,2.9,4,8,16.11,50000000000,terasort,2018-01-05 08:04:08,1328.766,14117284.890942698,91.66512939001848,14.477162661737523
AWS,c4.large,2.9,6,2,4.03,24060204216,lr,2018-01-06 03:34:57,3584.975,3758038.3504293337,97.48872128103967,22.14567881178928
AWS,m4.xlarge,2.4,6,4,17.18,50000000000,terasort,2018-01-06 00:08:28,975.532,14723588.08828523,89.59692699490662,33.66926994906621
AWS,c4.large,2.9,6,2,4.03,48060204216,lr,2018-01-06 14:01:50,6926.933,3762352.7641054047,97.60060299121626,21.780345809923244
AWS,m4.2xlarge,2.4,10,8,34.36,93800091161,join,2018-01-06 03:21:33,374.116,19112908.016,58.00922666666666,30.418333333333333
